02-24-2015 18:23:04;;;shure-kryg.ru;;;176.67.25.6;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-24-2015 18:24:01;;;shure-kryg.ru;;;176.67.25.6;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-24-2015 18:24:57;;;shure-kryg.ru;;;176.67.25.6;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 10:09:47;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 11:54:25;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 13:06:19;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 13:06:55;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:20:19;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:21:40;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:25:59;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:59:00;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:59:12;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 14:59:33;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 15:12:41;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 15:19:25;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-25-2015 17:25:30;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 17:43:20;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-25-2015 18:17:55;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
