03-02-2015 10:28:06;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-02-2015 10:28:10;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-02-2015 10:28:45;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-02-2015 10:41:14;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-02-2015 17:03:15;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-03-2015 09:21:30;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-03-2015 10:12:40;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-03-2015 18:13:04;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-03-2015 18:13:20;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-04-2015 09:23:49;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-04-2015 11:43:32;;;shure-kryg.ru;;;37.229.192.192;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://94.153.128.1:848/233290/?tcca=MTAxMjkyODg=
03-04-2015 11:43:46;;;shure-kryg.ru;;;37.229.192.192;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://shure-kryg.ru/rasii/?t=1425462205103
03-04-2015 12:58:08;;;shure-kryg.ru;;;37.229.192.192;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-04-2015 12:59:56;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-04-2015 13:04:10;;;shure-kryg.ru;;;37.229.192.192;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-05-2015 09:43:19;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-05-2015 10:02:16;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-05-2015 10:12:25;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 10:12:25;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 10:30:52;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 11:04:56;;;shure-kryg.ru;;;178.137.224.81;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-05-2015 12:02:50;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 12:06:36;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-05-2015 13:29:47;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 13:30:31;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 13:30:46;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-05-2015 13:31:37;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 14:42:14;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-05-2015 16:31:50;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 10:14:46;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 14:00:14;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-06-2015 14:00:59;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-06-2015 14:07:07;;;shure-kryg.ru;;;37.115.116.10;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-06-2015 14:07:17;;;shure-kryg.ru;;;37.115.116.10;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 14:13:07;;;shure-kryg.ru;;;37.115.116.10;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-06-2015 14:34:39;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-06-2015 14:50:56;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 14:52:11;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 15:17:08;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-06-2015 15:44:46;;;shure-kryg.ru;;;37.115.116.10;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-06-2015 15:45:39;;;shure-kryg.ru;;;37.115.116.10;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-06-2015 16:24:19;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-06-2015 16:25:34;;;shure-kryg.ru;;;37.139.169.243;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-09-2015 10:29:46;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko; Google Web Preview) Chrome/27.0.1453 Safari/537.36;;;http://www.google.com/search
03-09-2015 15:53:19;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-09-2015 16:16:52;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;http://l.facebook.com/lsr.php?u=http://shure-kryg.ru/rasii/#close
03-09-2015 16:25:32;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-09-2015 16:28:37;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0;;;
03-09-2015 16:29:28;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-09-2015 19:53:42;;;shure-kryg.ru;;;46.37.195.65;;;Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4;;;
03-10-2015 08:56:33;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 08:56:43;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 09:09:47;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 09:22:07;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-10-2015 09:22:10;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 10:20:57;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-10-2015 10:21:05;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 10:33:09;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 11:14:11;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-10-2015 11:14:14;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 11:15:59;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 11:32:01;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 12:42:02;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 15:49:04;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;http://l.facebook.com/lsr.php?u=http://shure-kryg.ru/rasii/#close
03-10-2015 16:16:33;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-10-2015 16:16:55;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-10-2015 16:36:08;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-10-2015 16:45:47;;;shure-kryg.ru;;;46.211.149.109;;;Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53;;;
03-10-2015 16:48:50;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53;;;
03-10-2015 17:10:48;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-10-2015 17:26:20;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-10-2015 17:31:29;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53;;;
03-10-2015 17:35:09;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53;;;
03-10-2015 17:37:29;;;shure-kryg.ru;;;46.211.9.194;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-10-2015 17:40:12;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 07:22:29;;;shure-kryg.ru;;;188.115.142.217;;;Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D201 Safari/9537.53;;;
03-11-2015 08:59:10;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-11-2015 10:57:30;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-11-2015 11:43:16;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;
03-11-2015 12:03:43;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;http://l.facebook.com/lsr.php?u=http://shure-kryg.ru/rasii/#close
03-11-2015 12:24:57;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-11-2015 12:25:20;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-11-2015 13:26:10;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-11-2015 13:27:28;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-11-2015 13:59:04;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 14:00:17;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 14:00:59;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 14:06:52;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-11-2015 14:06:55;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-11-2015 14:47:25;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 15:06:44;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-11-2015 15:13:40;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
03-11-2015 16:16:53;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-11-2015 17:59:20;;;shure-kryg.ru;;;37.139.189.203;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-11-2015 19:03:22;;;shure-kryg.ru;;;37.229.193.199;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
03-12-2015 09:03:52;;;shure-kryg.ru;;;109.227.105.5;;;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-12-2015 09:44:54;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;
03-12-2015 09:45:09;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-12-2015 10:53:12;;;shure-kryg.ru;;;109.227.105.5;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;http://shure-kryg.ru/rasii/
03-12-2015 11:48:38;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.76 Safari/537.36;;;
03-12-2015 12:13:23;;;shure-kryg.ru;;;134.249.90.16;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;http://shure-kryg.ru/rasii/
